[17:07:18] CPU: 31.59% | RAM: 35.62% | TEMP: 49.0°C
[17:08:18] CPU: 3.83% | RAM: 36.16% | TEMP: 41.0°C
[17:09:18] CPU: 4.59% | RAM: 36.12% | TEMP: 42.0°C
[17:10:18] CPU: 2.76% | RAM: 35.82% | TEMP: 41.0°C
[17:11:18] CPU: 2.76% | RAM: 36.04% | TEMP: 41.0°C
[17:12:18] CPU: 6.04% | RAM: 36.14% | TEMP: 42.0°C
[17:13:18] CPU: 5.44% | RAM: 35.98% | TEMP: 42.0°C
[17:14:18] CPU: 4.62% | RAM: 36.03% | TEMP: 42.0°C
[17:15:18] CPU: 4.87% | RAM: 36.09% | TEMP: 43.0°C
[17:16:18] CPU: 4.86% | RAM: 35.91% | TEMP: 41.0°C
[17:17:18] CPU: 5.40% | RAM: 35.99% | TEMP: 42.0°C
[17:18:18] CPU: 1.79% | RAM: 35.94% | TEMP: 41.0°C
[17:19:18] CPU: 2.28% | RAM: 36.17% | TEMP: 41.0°C
[17:20:18] CPU: 2.26% | RAM: 36.31% | TEMP: 41.0°C
[17:21:18] CPU: 2.55% | RAM: 36.14% | TEMP: 41.0°C
[17:22:18] CPU: 2.53% | RAM: 35.92% | TEMP: 41.0°C
[17:23:18] CPU: 2.28% | RAM: 36.07% | TEMP: 41.0°C
[17:24:18] CPU: 2.78% | RAM: 36.00% | TEMP: 41.0°C
[17:25:18] CPU: 2.28% | RAM: 36.00% | TEMP: 41.0°C
[17:26:18] CPU: 2.78% | RAM: 35.88% | TEMP: 42.0°C
[17:27:18] CPU: 2.78% | RAM: 36.06% | TEMP: 41.0°C
[17:28:18] CPU: 5.38% | RAM: 36.12% | TEMP: 42.0°C
[17:29:18] CPU: 5.12% | RAM: 36.16% | TEMP: 41.0°C
[17:30:18] CPU: 2.76% | RAM: 36.34% | TEMP: 41.0°C
[17:31:18] CPU: 2.04% | RAM: 35.82% | TEMP: 41.0°C
[17:32:18] CPU: 2.51% | RAM: 36.03% | TEMP: 41.0°C
[17:33:18] CPU: 2.27% | RAM: 35.84% | TEMP: 42.0°C
[17:34:18] CPU: 2.55% | RAM: 36.08% | TEMP: 41.0°C
[17:35:18] CPU: 3.31% | RAM: 36.21% | TEMP: 41.0°C
[17:36:18] CPU: 2.76% | RAM: 36.06% | TEMP: 41.0°C
[17:37:18] CPU: 2.04% | RAM: 36.19% | TEMP: 41.0°C
[17:38:18] CPU: 2.51% | RAM: 35.12% | TEMP: 41.0°C
[17:39:18] CPU: 2.26% | RAM: 35.21% | TEMP: 42.0°C
[17:40:18] CPU: 2.28% | RAM: 35.48% | TEMP: 41.0°C
[17:41:18] CPU: 1.28% | RAM: 35.24% | TEMP: 42.0°C
[17:42:18] CPU: 3.02% | RAM: 35.30% | TEMP: 42.0°C
[17:43:18] CPU: 2.80% | RAM: 35.33% | TEMP: 42.0°C
[17:44:18] CPU: 2.53% | RAM: 35.09% | TEMP: 42.0°C
[17:45:18] CPU: 2.77% | RAM: 35.25% | TEMP: 42.0°C
[17:46:18] CPU: 2.29% | RAM: 35.25% | TEMP: 42.0°C
[17:47:18] CPU: 2.53% | RAM: 35.28% | TEMP: 41.0°C
[17:48:18] CPU: 4.63% | RAM: 35.14% | TEMP: 42.0°C
[17:49:18] CPU: 4.88% | RAM: 35.43% | TEMP: 42.0°C
[17:50:18] CPU: 2.78% | RAM: 35.51% | TEMP: 42.0°C
[17:51:18] CPU: 2.54% | RAM: 35.24% | TEMP: 42.0°C
[17:52:18] CPU: 2.78% | RAM: 35.20% | TEMP: 42.0°C
[17:53:18] CPU: 2.76% | RAM: 35.35% | TEMP: 41.0°C
[17:54:18] CPU: 2.29% | RAM: 35.45% | TEMP: 41.0°C
[17:55:18] CPU: 2.78% | RAM: 35.23% | TEMP: 42.0°C
[17:56:18] CPU: 2.26% | RAM: 35.27% | TEMP: 41.0°C
[17:57:18] CPU: 1.78% | RAM: 35.38% | TEMP: 41.0°C
[17:58:18] CPU: 3.04% | RAM: 35.25% | TEMP: 41.0°C
[17:59:18] CPU: 3.50% | RAM: 35.40% | TEMP: 41.0°C
[18:00:18] CPU: 3.25% | RAM: 35.44% | TEMP: 42.0°C
[18:01:18] CPU: 2.53% | RAM: 35.74% | TEMP: 42.0°C
[18:02:18] CPU: 2.04% | RAM: 35.90% | TEMP: 42.0°C
[18:03:18] CPU: 2.28% | RAM: 35.55% | TEMP: 42.0°C
[18:04:18] CPU: 3.54% | RAM: 35.55% | TEMP: 42.0°C
[18:05:18] CPU: 3.08% | RAM: 35.14% | TEMP: 41.0°C
[18:06:18] CPU: 2.28% | RAM: 35.36% | TEMP: 41.0°C
